Account_Exe_ID,Account_Executive,branch_name,global_attendees,meeting_date
2,Abhinav Shivam,Ahmedabad,Alex Johnson,2019-10-17
2,Abhinav Shivam,Ahmedabad,Emily Thompson,2019-10-17
2,Abhinav Shivam,Ahmedabad,Liam Smith,2019-12-24
2,Abhinav Shivam,Ahmedabad,Ava Davis,2020-01-03
2,Abhinav Shivam,Ahmedabad,Noah Wilson,2020-01-08
2,Abhinav Shivam,Ahmedabad,Olivia Brown,2020-01-08
2,Abhinav Shivam,Ahmedabad,William Martinez,2020-01-09
1,Vinay,Ahmedabad,Sophia Garcia,2020-01-02
1,Vinay,Ahmedabad,James Miller,2020-01-03
1,Vinay,Ahmedabad,Mia Rodriguez,2020-01-06
1,Vinay,Ahmedabad,Benjamin Anderson,2020-01-07
1,Vinay,Ahmedabad,Charlotte Taylor,2020-01-08
3,Animesh Rawat,Ahmedabad,Lucas Hernandez,2020-01-13
3,Animesh Rawat,Ahmedabad,Amelia Moore,2020-01-13
3,Animesh Rawat,Ahmedabad,Henry Thomas,2020-01-09
3,Animesh Rawat,Ahmedabad,Harper Martin,2020-01-10
6,Ketan Jain,Ahmedabad,Alexander Jackson,2020-01-03
6,Ketan Jain,Ahmedabad,Ella White,2020-01-08
6,Ketan Jain,Ahmedabad,Michael Lee,2020-01-13
6,Ketan Jain,Ahmedabad,Grace Harris,2020-01-09
4,Gilbert,Ahmedabad,Daniel Clark,2020-01-06
4,Gilbert,Ahmedabad,Scarlett Lewis,2020-01-20
4,Gilbert,Ahmedabad,Matthew Walker,2020-01-20
12,Shivani Sharma,Ahmedabad,Madison Robinson,2020-01-21
12,Shivani Sharma,Ahmedabad,David Hall,2020-01-21
12,Shivani Sharma,Ahmedabad,Lily Young,2020-01-21
12,Shivani Sharma,Ahmedabad,Samuel Allen,2020-01-22
9,Manish Sharma,Ahmedabad,Chloe King,2020-01-13
9,Manish Sharma,Ahmedabad,Joseph Scott,2020-01-09
9,Manish Sharma,Ahmedabad,Evelyn Wright,2020-01-21
11,Raju Kumar,Ahmedabad,Andrew Adams,2020-01-22
11,Raju Kumar,Ahmedabad,Aria Baker,2020-01-20
10,Mark,Ahmedabad,Christopher Campbell,2020-01-22
10,Mark,Ahmedabad,Zoe Rivera,2020-01-13
